text,topic,type,label,Predicted
But that’s not what the governors of Florida and Texas are demanding.,immigration,nan,0,XXX
Why did Trump offer up this cards? That's because his vaunted skills in making the deal absolutely failed to budge the prices from pharmaceutical companies and a deal that had been in the works for months absolutely collapsed. ,universal health care,left,1,XXX
"Biden’s new, 12-page policy plan proposes financing for its recommendations, including funneling more money to regions with high poverty rates and pushing the United States to net-zero greenhouse emissions by 2050, by raising corporate taxes and ending subsidies for fossil fuels.",taxes,center,1,XXX
"According to a Washington Post analysis updated on Monday, half of people killed by police are white, but Black Americans are shot at a disproportionate rate. ",blm,center,1,XXX
"While Lecturing Americans On Racism, Big Business Opposes Ban On Using Foreign Slave Labor",islam,nan,0,XXX
"While each sport has its own rules with regards to religious headwear, Muslim women who compete while wearing a hijab have faced a litany of obstacles.",sport,left,1,XXX
"But President Donald Trump and his campaign advisers are proceeding with the event, which is expected to draw tens of thousands inside and outside the venue who will neither be socially distant nor required to wear face coverings.",coronavirus,left,1,XXX
"In the United States, the outbreak of the new coronavirus and efforts to prepare for its possible spread have become political in a presidential election year.",vaccines,nan,0,XXX
"Throughout the night, indeed the convention, the Democrats have appeared terrified that their constituents are too dumb to know how to vote or something. In any event, they have been yammering about it a lot.",vaccines,nan,0,XXX
"...immigrants as criminals and eugenics, all of which were once considered fringe and extreme. White nationalists embrace white supremacist and white separatist views.",white-nationalism,left,1,XXX
"Michael Mann, arguably the world’s no. 1 climate alarmist, does not explain how it was possible for him to witness climate change “first hand,” which would be difficult to do, since by definition climate change — unlike weather — takes place over long periods of time.",environment,right,1,XXX
"One protester appeared to have been left injured in the incident, according to NBC Los Angeles.",blm,right,1,XXX
"The Trump tax cuts also doubled the child tax credit and expanded its eligibility, which greatly helps the American working-class family.",middle-class,right,1,XXX
Sexual Abuse by Clerics Pervasive In Islamic Schools,islam,nan,0,XXX
"If the Left doesn’t feel comfortable imposing its will through gun-control legislation, it will find other avenues of power to engineer the public.",gun control,right,1,XXX
"Ohio's Down syndrome abortion ban and similar proposals around the country have triggered emotional debate over women’s rights, parental love, and the trust between doctor and patient.",abortion,left,1,XXX
"Over four years later, she and her daughter are coping with the lingering trauma from the wildfire’s apocalyptic smog, heat, and destruction.",environment,nan,0,XXX
"Appearing Tuesday Cheddar Live, Rep. Maxine Waters (D) formally endorsed former Vice President Joe Biden for the White House, claiming that President Donald Trump is “destroying America” and advocating for the killing of both black and white children in the wake of nationwide protests over the death of George Floyd.",elections-2020,right,1,XXX
Proposals to restructure repayment programs or dip into retirement accounts don’t prevent students from taking out dangerous amounts of student loans in the first place.,student-debt,right,1,XXX
"“He won because the Election was Rigged,” Trump wrote, not referring to Biden by name, adding a list of complaints about vote counting.",vaccines,nan,0,XXX
"Trump has repeatedly boasted about and taken credit for the stock market’s performance during his three years in office, including as recently as last Saturday after a strong rebound the day before. Trump has also warned that Wall Street would fall if a Democratic candidate wins the November presidential election.",trump-presidency,center,1,XXX
"Hawley recalled during Tuesday’s hearing that he had confronted Shogan in the last hearing about her past tweets that he considered ""grossly partisan"" and ""offensive.""",elections-2020,nan,0,XXX
Reuters has previously debunked false claims on social media that U.S. philanthropist Bill Gates planned to use microchip implants to fight the coronavirus.,vaccines,nan,0,XXX
"Local health officer Dr Rosana Salvaterra appeared to co-sign the demonstration, praising activists for wearing masks and claiming they obeyed social distancing protocols — although footage of the event strongly suggests that is not strictly accurate.",blm,right,1,XXX
"Now, with Democrats in control of the House of Representatives after the midterm elections, and with states like New York and Virginia among others pushing boundaries on abortion to extremes, the Republicans in Congress is rolling out a long-term push to force the Democrats to hold a vote on the bill.",abortion,right,1,XXX
The United Nations Humanitarian Affairs office warned on Monday that nearly a million Syrian civilians from northwest Idlib province had been displaced in a Russia-backed offensive there by dictator Bashar al-Assad that began in December.,international-politics-and-world-news,right,1,XXX
Democrat presidential hopeful Pete Buttigieg apparently felt the sting of Rush Limbaugh’s recent comments about his masculinity and lashed out at the radio icon and Trump supporters in an interview with Ellen DeGeneres.,marriage-equality,nan,0,XXX
"Writing in today’s Wall Street Journal, Pence denies that there is such a thing as a “second wave” to the pandemic, and he doesn’t mean because we haven’t exited the first wave.",vaccines,nan,0,XXX
"BLM, like the Women’s March, has from its start been ardently antisemitic.",marriage-equality,nan,0,XXX
Hospitals across the country are laying off thousands of medical workers despite facing severe staff shortages as they treat an influx of patients infected with the coronavirus.,universal health care,left,1,XXX
"King’s defense understandably rang hollow, as he has a long history of making comments ranging from insensitive to downright unacceptable.",white-nationalism,right,1,XXX
