model,Category,Category Value,Precision,Recall,F1,Accuracy
D1V1DE_bias-detection,Type,center,{'precision': 1.0},{'recall': 0.8970588235294118},{'f1': 0.9457364341085271},{'accuracy': 0.8970588235294118}
D1V1DE_bias-detection,Type,left,{'precision': 1.0},{'recall': 0.31527093596059114},{'f1': 0.4794007490636704},{'accuracy': 0.31527093596059114}
D1V1DE_bias-detection,Type,right,{'precision': 1.0},{'recall': 0.3350253807106599},{'f1': 0.5019011406844106},{'accuracy': 0.3350253807106599}
D1V1DE_bias-detection,Topic,#metoo,{'precision': 1.0},{'recall': 1.0},{'f1': 1.0},{'accuracy': 1.0}
D1V1DE_bias-detection,Topic,abortion,{'precision': 0.7647058823529411},{'recall': 0.35135135135135137},{'f1': 0.48148148148148145},{'accuracy': 0.391304347826087}
D1V1DE_bias-detection,Topic,blm,{'precision': 0.4576271186440678},{'recall': 0.574468085106383},{'f1': 0.5094339622641509},{'accuracy': 0.38095238095238093}
D1V1DE_bias-detection,Topic,coronavirus,{'precision': 0.6666666666666666},{'recall': 0.47058823529411764},{'f1': 0.5517241379310345},{'accuracy': 0.38095238095238093}
D1V1DE_bias-detection,Topic,elections-2020,{'precision': 0.6923076923076923},{'recall': 0.391304347826087},{'f1': 0.5},{'accuracy': 0.3793103448275862}
D1V1DE_bias-detection,Topic,environment,{'precision': 0.8},{'recall': 0.48484848484848486},{'f1': 0.6037735849056604},{'accuracy': 0.475}
D1V1DE_bias-detection,Topic,gender,{'precision': 0.7692307692307693},{'recall': 0.5263157894736842},{'f1': 0.625},{'accuracy': 0.45454545454545453}
D1V1DE_bias-detection,Topic,gun control,{'precision': 0.7333333333333333},{'recall': 0.44},{'f1': 0.55},{'accuracy': 0.38636363636363635}
D1V1DE_bias-detection,Topic,immigration,{'precision': 0.7692307692307693},{'recall': 0.43478260869565216},{'f1': 0.5555555555555556},{'accuracy': 0.5294117647058824}
D1V1DE_bias-detection,Topic,international-politics-and-world-news,{'precision': 0.5263157894736842},{'recall': 0.5882352941176471},{'f1': 0.5555555555555556},{'accuracy': 0.38461538461538464}
D1V1DE_bias-detection,Topic,islam,{'precision': 0.0},{'recall': 0.0},{'f1': 0.0},{'accuracy': 0.4857142857142857}
D1V1DE_bias-detection,Topic,marriage-equality,{'precision': 0.0},{'recall': 0.0},{'f1': 0.0},{'accuracy': 0.7058823529411765}
D1V1DE_bias-detection,Topic,middle-class,{'precision': 0.9444444444444444},{'recall': 0.6538461538461539},{'f1': 0.7727272727272727},{'accuracy': 0.6296296296296297}
D1V1DE_bias-detection,Topic,sport,{'precision': 1.0},{'recall': 0.7241379310344828},{'f1': 0.84},{'accuracy': 0.7241379310344828}
D1V1DE_bias-detection,Topic,student-debt,{'precision': 1.0},{'recall': 0.3181818181818182},{'f1': 0.4827586206896552},{'accuracy': 0.3181818181818182}
D1V1DE_bias-detection,Topic,taxes,{'precision': 0.9655172413793104},{'recall': 0.5384615384615384},{'f1': 0.691358024691358},{'accuracy': 0.5370370370370371}
D1V1DE_bias-detection,Topic,trump-presidency,{'precision': 1.0},{'recall': 0.2692307692307692},{'f1': 0.42424242424242425},{'accuracy': 0.2962962962962963}
D1V1DE_bias-detection,Topic,universal health care,{'precision': 0.9090909090909091},{'recall': 0.47619047619047616},{'f1': 0.625},{'accuracy': 0.48936170212765956}
D1V1DE_bias-detection,Topic,vaccines,{'precision': 0.16279069767441862},{'recall': 0.30434782608695654},{'f1': 0.21212121212121213},{'accuracy': 0.4157303370786517}
D1V1DE_bias-detection,Topic,white-nationalism,{'precision': 0.5},{'recall': 0.15789473684210525},{'f1': 0.24},{'accuracy': 0.36666666666666664}
d4data_bias-detection-model,Type,center,{'precision': 1.0},{'recall': 0.3088235294117647},{'f1': 0.47191011235955055},{'accuracy': 0.3088235294117647}
d4data_bias-detection-model,Type,left,{'precision': 1.0},{'recall': 0.6798029556650246},{'f1': 0.8093841642228738},{'accuracy': 0.6798029556650246}
d4data_bias-detection-model,Type,right,{'precision': 1.0},{'recall': 0.6852791878172588},{'f1': 0.8132530120481928},{'accuracy': 0.6852791878172588}
d4data_bias-detection-model,Topic,#metoo,{'precision': 0.75},{'recall': 0.5},{'f1': 0.6},{'accuracy': 0.42857142857142855}
d4data_bias-detection-model,Topic,abortion,{'precision': 0.7647058823529411},{'recall': 0.7027027027027027},{'f1': 0.7323943661971831},{'accuracy': 0.5869565217391305}
d4data_bias-detection-model,Topic,blm,{'precision': 0.6666666666666666},{'recall': 0.6808510638297872},{'f1': 0.6736842105263158},{'accuracy': 0.6309523809523809}
d4data_bias-detection-model,Topic,coronavirus,{'precision': 0.9},{'recall': 0.5294117647058824},{'f1': 0.6666666666666666},{'accuracy': 0.5714285714285714}
d4data_bias-detection-model,Topic,elections-2020,{'precision': 0.7777777777777778},{'recall': 0.6086956521739131},{'f1': 0.6829268292682927},{'accuracy': 0.5517241379310345}
d4data_bias-detection-model,Topic,environment,{'precision': 0.75},{'recall': 0.5454545454545454},{'f1': 0.631578947368421},{'accuracy': 0.475}
d4data_bias-detection-model,Topic,gender,{'precision': 0.9},{'recall': 0.47368421052631576},{'f1': 0.6206896551724138},{'accuracy': 0.5}
d4data_bias-detection-model,Topic,gun control,{'precision': 0.9245283018867925},{'recall': 0.6533333333333333},{'f1': 0.765625},{'accuracy': 0.6590909090909091}
d4data_bias-detection-model,Topic,immigration,{'precision': 0.65},{'recall': 0.5652173913043478},{'f1': 0.6046511627906976},{'accuracy': 0.5}
